Date,Manhattan price per sqft,Brooklyn price per sqft,Bronx price per sqft,Queens price per sqft,Staten Island price per sqft
2011-05,986.68,447.0,255.6315789473684,347.6271186440678,261.3541666666667
2011-06,988.76,448.7906976744186,253.57894736842104,348.1525423728813,261.4791666666667
2011-07,991.56,450.25581395348837,252.8421052631579,346.23728813559325,260.9166666666667
2011-08,992.8,451.3720930232558,253.8421052631579,346.08474576271186,259.8125
2011-09,993.04,452.0232558139535,254.68421052631578,349.49152542372883,258.6875
2011-10,994.48,451.5813953488372,254.3684210526316,351.6101694915254,258.1458333333333
2011-11,997.24,450.48837209302326,254.94736842105263,350.9830508474576,258.2708333333333
2011-12,1000.96,449.74418604651163,254.68421052631578,348.8474576271187,257.875
2012-01,1005.04,450.0,252.8421052631579,347.40677966101697,256.9791666666667
2012-02,1008.44,450.0,250.8421052631579,346.2542372881356,256.2291666666667
2012-03,1011.48,450.2093023255814,249.1578947368421,345.91525423728814,256.4791666666667
2012-04,1015.52,450.5813953488372,247.89473684210526,345.54237288135596,257.1666666666667
2012-05,1021.12,450.69767441860466,247.3684210526316,345.4237288135593,258.4791666666667
2012-06,1026.76,450.0,247.52631578947367,346.52542372881356,259.7916666666667
2012-07,1033.84,451.2325581395349,246.6315789473684,347.6101694915254,260.3541666666667
2012-08,1042.48,453.7674418604651,245.47368421052633,347.89830508474574,259.4583333333333
2012-09,1050.28,456.74418604651163,243.73684210526315,348.50847457627117,258.5208333333333
2012-10,1055.8,460.5348837209302,242.0,349.52542372881356,257.9166666666667
2012-11,1061.56,465.3953488372093,243.47368421052633,351.0169491525424,257.2916666666667
2012-12,1069.4,469.0232558139535,247.05263157894737,352.77966101694915,256.7708333333333
2013-01,1076.84,471.25581395348837,249.3684210526316,354.22033898305085,256.7708333333333
2013-02,1084.2,471.4186046511628,250.31578947368422,354.77966101694915,256.9166666666667
2013-03,1094.68,472.93023255813955,252.6315789473684,355.5593220338983,257.4166666666667
2013-04,1105.2,477.4418604651163,256.0,357.271186440678,257.8541666666667
2013-05,1114.08,484.25581395348837,258.89473684210526,359.8813559322034,258.0833333333333
2013-06,1122.04,490.04651162790697,260.4736842105263,361.91525423728814,257.8541666666667
2013-07,1131.68,495.3953488372093,260.5263157894737,363.3050847457627,258.375
2013-08,1143.56,501.1162790697674,260.6842105263158,365.23728813559325,259.5625
2013-09,1158.4,507.8139534883721,261.0,367.271186440678,260.4375
2013-10,1174.24,513.5348837209302,261.2105263157895,369.1525423728813,261.0
2013-11,1189.48,517.2558139534884,261.05263157894734,371.728813559322,262.1666666666667
2013-12,1204.36,520.7906976744187,261.10526315789474,374.77966101694915,263.3541666666667
